"Reference","Value","Footprint","Qty","DNP"
"C1","220uF","PCM_Capacitor_THT_US_AKL:CP_Radial_D8.0mm_P3.50mm","1",""
"C2,C6,C12","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3",""
"C3,C13","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","2","DNP (不作装配)"
"C5,C7,C8","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","3",""
"D1","SS34","PCM_Diode_SMD_AKL:D_SMA","1",""
"H1","~","MountingHole:MountingHole_3mm_Pad","1",""
"H2,H5","Screw_Terminal_2_P5.00mm","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","2",""
"L1","4.7uH/2A","wsylib:IND-SMD_L10.8-W10.0_0520-1040","1",""
"R1","7870Ω","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R2","84.7KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R3","3.3KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R4","2550Ω","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"R5","31600Ω","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1",""
"U2","SX1308","Package_TO_SOT_SMD:SOT-23-6","1",""
"U3","TL431DBZ","Package_TO_SOT_SMD:SOT-23","1",""
"U4","LM393DR2G","PCM_Package_SO_AKL:SO-8_3.9x4.9mm_P1.27mm","1",""
