"Reference","Value","Footprint","Qty","DNP","说明"
"C1,C4","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","独石电容"
"C2,C5,C6,C9,C10","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","5","","独石电容"
"C3","100nF","PCM_Capacitor_SMD_AKL:C_0805_2012Metric","1","DNP (不作装配)",""
"C7,C8","30pF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","独石电容"
"J1","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","1","",""
"J2","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","",""
"J3,J5","Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","2","",""
"LED1","红灯","PCM_LED_THT_AKL:LED_D3.0mm","1","",""
"LED2","绿灯","PCM_LED_THT_AKL:LED_D3.0mm","1","",""
"R1,R2","10KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","金属膜电阻 1% 0.25W"
"R3,R4","5.1KΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","金属膜电阻 1% 0.25W"
"R5,R6","10kΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","金属膜电阻 1% 0.25W"
"SW1,SW2","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","2","","6mm*6mm*7.5mm_4pin_key"
"U1","AZ1117IH-3.3TRE1","PCM_Package_TO_SOT_SMD_AKL:SOT-223-3_TabPin2","1","",""
"U2","PY32F002AW15S6TU","Package_SO:SOP-16_3.9x9.9mm_P1.27mm","1","",""
"X1","12MHz_±20ppm_20pF_HC-49S","wsylib:Crystal_HC49-U-3Pin_Vertical_change","1","",""
