"Reference","Value","Footprint","Qty","DNP","Manufacturer Part","Supplier Part"
"C1,C3","10uF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","2","","",""
"C2,C4,C6,C7,C8,C10,C11","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","7","","",""
"C5","100nF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.0mm_W2.5mm_P2.50mm","1","","",""
"C9,C16,C17,C18","12pF/GOG","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","4","DNP (不作装配)","",""
"C12,C13,C14,C15","12pF","PCM_Capacitor_THT_US_AKL:C_Disc_D5.1mm_W3.2mm_P5.00mm","4","","",""
"C19,C20,C21,C22","100nF","PCM_Capacitor_SMD_AKL:C_0603_1608Metric","4","DNP (不作装配)","",""
"H1","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","",""
"H2,H3","HDR-TH_20P-P2.54-V-M-1","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","2","","","C50981"
"H4","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","",""
"H5","HDR-TH_2P-P2.54-V-F","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","",""
"LED1,LED2","LED_3mm","PCM_LED_THT_AKL:LED_D3.0mm","2","","",""
"Q1","AMS1117-3.3V","PCM_Package_TO_SOT_SMD_AKL:SOT-223-3_TabPin2","1","","",""
"R1,R4","10kΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"R2,R3","1kΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"R5,R6","5.1kΩ","PCM_Resistor_THT_AKL:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","2","","",""
"SW1","SW_DIP_x01","Button_Switch_THT:SW_PUSH_6mm_H7.3mm","1","","",""
"U1","CW32F030C8T6","Package_QFP:LQFP-48_7x7mm_P0.5mm","1","","",""
"USB1","USB C 6P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","1","","",""
"X1","8MHz","wsylib:Crystal_HC49-U-3Pin_Vertical","1","","",""
"X2","32.768kHz","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Horizontal_1EP_style2","1","","",""
